date,open,high,low,close,adj_close,volume
"Feb 23, 2021","3,200.00","3,480.00","3,200.00","3,470.00","3,303.43","354,966,200"
"Feb 22, 2021","3,210.00","3,240.00","3,170.00","3,170.00","3,017.83","100,425,500"
"Feb 19, 2021","3,180.00","3,220.00","3,170.00","3,210.00","3,055.91","63,214,600"
"Feb 18, 2021","3,190.00","3,270.00","3,180.00","3,180.00","3,027.35","151,200,300"
"Feb 17, 2021","3,220.00","3,250.00","3,140.00","3,150.00","2,998.79","121,105,300"
"Feb 16, 2021","3,200.00","3,250.00","3,190.00","3,210.00","3,055.91","82,026,300"
"Feb 15, 2021","3,200.00","3,260.00","3,200.00","3,220.00","3,065.43","88,883,300"
"Feb 11, 2021","3,220.00","3,230.00","3,170.00","3,190.00","3,036.87","79,940,700"
"Feb 10, 2021","3,180.00","3,220.00","3,160.00","3,190.00","3,036.87","125,221,400"
"Feb 09, 2021","3,250.00","3,300.00","3,180.00","3,200.00","3,046.39","157,479,200"
"Feb 08, 2021","3,300.00","3,370.00","3,270.00","3,280.00","3,122.55","96,635,600"
"Feb 05, 2021","3,320.00","3,320.00","3,270.00","3,290.00","3,132.07","52,630,500"
"Feb 04, 2021","3,270.00","3,330.00","3,260.00","3,290.00","3,132.07","80,319,500"
"Feb 03, 2021","3,250.00","3,330.00","3,220.00","3,240.00","3,084.47","86,433,900"
"Feb 02, 2021","3,300.00","3,330.00","3,250.00","3,270.00","3,113.03","114,734,600"
"Feb 01, 2021","3,130.00","3,250.00","3,040.00","3,230.00","3,074.95","133,929,600"
"Jan 29, 2021","3,290.00","3,290.00","3,110.00","3,110.00","2,960.71","191,915,100"
"Jan 28, 2021","3,280.00","3,330.00","3,230.00","3,240.00","3,084.47","142,648,800"
"Jan 27, 2021","3,340.00","3,380.00","3,260.00","3,380.00","3,217.75","159,144,700"
"Jan 26, 2021","3,360.00","3,390.00","3,260.00","3,260.00","3,103.51","111,414,500"
"Jan 25, 2021","3,370.00","3,410.00","3,310.00","3,370.00","3,208.23","118,131,800"
"Jan 22, 2021","3,420.00","3,440.00","3,360.00","3,390.00","3,227.27","165,024,200"
"Jan 21, 2021","3,500.00","3,520.00","3,460.00","3,480.00","3,312.95","81,801,900"
"Jan 20, 2021","3,420.00","3,480.00","3,380.00","3,470.00","3,303.43","116,098,100"
"Jan 19, 2021","3,470.00","3,490.00","3,370.00","3,410.00","3,246.31","144,100,700"
"Jan 18, 2021","3,480.00","3,520.00","3,430.00","3,450.00","3,284.39","138,913,100"
"Jan 15, 2021","3,510.00","3,540.00","3,450.00","3,480.00","3,312.95","133,304,300"
"Jan 14, 2021","3,480.00","3,590.00","3,470.00","3,500.00","3,331.99","187,448,400"
"Jan 13, 2021","3,550.00","3,550.00","3,460.00","3,480.00","3,312.95","162,329,300"
"Jan 12, 2021","3,600.00","3,620.00","3,500.00","3,510.00","3,341.51","189,779,500"
"Jan 11, 2021","3,590.00","3,640.00","3,570.00","3,600.00","3,427.19","271,231,200"
"Jan 08, 2021","3,450.00","3,620.00","3,440.00","3,570.00","3,398.63","492,643,700"
"Jan 07, 2021","3,390.00","3,450.00","3,380.00","3,390.00","3,227.27","140,221,900"
"Jan 06, 2021","3,470.00","3,490.00","3,330.00","3,370.00","3,208.23","177,877,900"
"Jan 05, 2021","3,480.00","3,480.00","3,420.00","3,470.00","3,303.43","157,800,700"
"Jan 04, 2021","3,320.00","3,500.00","3,310.00","3,490.00","3,322.47","165,339,800"
"Dec 30, 2020","3,420.00","3,420.00","3,310.00","3,310.00","3,151.11","150,844,500"
"Dec 29, 2020","3,500.00","3,530.00","3,400.00","3,420.00","3,255.83","184,525,500"
"Dec 28, 2020","3,370.00","3,460.00","3,280.00","3,430.00","3,265.35","178,138,100"
"Dec 23, 2020","3,350.00","3,420.00","3,240.00","3,320.00","3,160.63","240,067,600"
"Dec 22, 2020","3,500.00","3,540.00","3,340.00","3,360.00","3,198.71","311,860,000"
"Dec 21, 2020","3,530.00","3,610.00","3,510.00","3,520.00","3,351.03","267,970,200"
"Dec 18, 2020","3,500.00","3,540.00","3,500.00","3,510.00","3,341.51","187,856,600"
"Dec 17, 2020","3,610.00","3,620.00","3,520.00","3,540.00","3,370.07","249,797,800"
"Dec 16, 2020","3,500.00","3,640.00","3,500.00","3,610.00","3,436.71","455,088,400"
"Dec 15, 2020","3,320.00","3,490.00","3,290.00","3,450.00","3,284.39","410,175,700"
"Dec 14, 2020","3,300.00","3,340.00","3,250.00","3,320.00","3,160.63","281,474,900"
"Dec 11, 2020","3,270.00","3,330.00","3,250.00","3,280.00","3,122.55","154,365,400"
"Dec 10, 2020","3,270.00","3,290.00","3,250.00","3,260.00","3,103.51","229,380,200"
"Dec 08, 2020","3,350.00","3,350.00","3,290.00","3,300.00","3,141.59","113,775,100"
"Dec 07, 2020","3,280.00","3,330.00","3,260.00","3,330.00","3,170.15","175,436,900"
"Dec 04, 2020","3,270.00","3,280.00","3,210.00","3,250.00","3,093.99","170,418,900"
"Dec 03, 2020","3,330.00","3,360.00","3,280.00","3,300.00","3,141.59","121,434,200"
"Dec 02, 2020","3,270.00","3,330.00","3,240.00","3,330.00","3,170.15","187,276,600"
"Dec 01, 2020","3,230.00","3,320.00","3,160.00","3,240.00","3,084.47","277,929,200"
"Nov 30, 2020","3,460.00","3,470.00","3,220.00","3,230.00","3,074.95","624,142,600"
"Nov 27, 2020","3,480.00","3,500.00","3,420.00","3,460.00","3,293.91","163,651,600"
"Nov 26, 2020","3,280.00","3,480.00","3,280.00","3,470.00","3,303.43","374,185,400"
"Nov 25, 2020","3,370.00","3,390.00","3,280.00","3,280.00","3,122.55","253,156,200"
"Nov 24, 2020","3,350.00","3,380.00","3,330.00","3,350.00","3,189.19","207,503,900"
"Nov 23, 2020","3,230.00","3,340.00","3,220.00","3,320.00","3,160.63","260,752,200"
"Nov 20, 2020","3,190.00","3,270.00","3,180.00","3,220.00","3,065.43","211,892,500"
"Nov 19, 2020","3,150.00","3,220.00","3,140.00","3,170.00","3,017.83","185,558,800"
"Nov 18, 2020","3,200.00","3,250.00","3,160.00","3,180.00","3,027.35","239,122,600"
"Nov 17, 2020","3,100.00","3,270.00","3,100.00","3,220.00","3,065.43","527,501,800"
"Nov 16, 2020","3,040.00","3,100.00","3,020.00","3,070.00","2,922.63","206,145,500"
"Nov 13, 2020","3,010.00","3,010.00","2,950.00","2,990.00","2,846.47","186,708,800"
"Nov 12, 2020","3,080.00","3,080.00","3,010.00","3,040.00","2,894.07","169,609,900"
"Nov 11, 2020","2,900.00","3,100.00","2,880.00","3,080.00","2,932.15","480,530,200"
"Nov 10, 2020","2,950.00","2,950.00","2,860.00","2,860.00","2,722.71","195,337,300"
"Nov 09, 2020","2,860.00","2,900.00","2,840.00","2,880.00","2,741.75","208,192,700"
"Nov 06, 2020","2,800.00","2,840.00","2,750.00","2,830.00","2,694.15","243,865,800"
"Nov 05, 2020","2,630.00","2,810.00","2,620.00","2,770.00","2,637.03","369,260,400"
"Nov 04, 2020","2,600.00","2,640.00","2,580.00","2,580.00","2,456.15","150,678,200"
"Nov 03, 2020","2,570.00","2,590.00","2,540.00","2,580.00","2,456.15","188,874,000"
"Nov 02, 2020","2,590.00","2,620.00","2,550.00","2,560.00","2,437.11","391,510,600"
"Oct 27, 2020","2,640.00","2,690.00","2,620.00","2,620.00","2,494.23","146,366,600"
"Oct 26, 2020","2,630.00","2,680.00","2,630.00","2,650.00","2,522.79","97,523,200"
"Oct 23, 2020","2,710.00","2,720.00","2,630.00","2,630.00","2,503.75","166,356,000"
"Oct 22, 2020","2,670.00","2,720.00","2,650.00","2,700.00","2,570.39","257,179,400"
"Oct 21, 2020","2,680.00","2,710.00","2,670.00","2,680.00","2,551.35","142,146,300"
"Oct 20, 2020","2,710.00","2,740.00","2,670.00","2,670.00","2,541.83","168,211,100"
"Oct 19, 2020","2,800.00","2,810.00","2,710.00","2,710.00","2,579.91","187,840,500"
"Oct 16, 2020","2,780.00","2,780.00","2,720.00","2,750.00","2,617.99","135,175,000"
"Oct 15, 2020","2,800.00","2,850.00","2,760.00","2,780.00","2,646.55","138,462,900"
"Oct 14, 2020","2,730.00","2,830.00","2,710.00","2,810.00","2,675.11","183,236,500"
"Oct 13, 2020","2,730.00","2,740.00","2,680.00","2,730.00","2,598.95","97,205,500"
"Oct 12, 2020","2,750.00","2,760.00","2,710.00","2,730.00","2,598.95","77,479,100"
"Oct 09, 2020","2,710.00","2,750.00","2,700.00","2,730.00","2,598.95","109,122,300"
"Oct 08, 2020","2,670.00","2,720.00","2,650.00","2,700.00","2,570.39","154,587,800"
"Oct 07, 2020","2,650.00","2,670.00","2,620.00","2,660.00","2,532.31","110,186,000"
"Oct 06, 2020","2,680.00","2,700.00","2,620.00","2,650.00","2,522.79","148,977,400"
"Oct 05, 2020","2,690.00","2,710.00","2,640.00","2,650.00","2,522.79","124,720,200"
"Oct 02, 2020","2,750.00","2,750.00","2,650.00","2,680.00","2,551.35","140,161,900"
"Oct 01, 2020","2,600.00","2,760.00","2,600.00","2,750.00","2,617.99","225,006,000"
"Sep 30, 2020","2,630.00","2,650.00","2,540.00","2,560.00","2,437.11","235,611,600"
"Sep 29, 2020","2,690.00","2,690.00","2,630.00","2,630.00","2,503.75","155,853,900"
"Sep 28, 2020","2,710.00","2,730.00","2,660.00","2,660.00","2,532.31","89,256,700"
"Sep 25, 2020","2,720.00","2,740.00","2,670.00","2,690.00","2,560.87","180,968,900"
"Sep 24, 2020","2,750.00","2,760.00","2,710.00","2,730.00","2,598.95","74,516,800"
"Sep 23, 2020","2,770.00","2,810.00","2,740.00","2,800.00","2,665.59","85,953,300"
"Sep 22, 2020","2,790.00","2,810.00","2,750.00","2,780.00","2,646.55","75,891,600"
"Sep 21, 2020","2,890.00","2,910.00","2,800.00","2,810.00","2,675.11","100,305,100"
"Sep 18, 2020","2,850.00","2,890.00","2,840.00","2,890.00","2,751.27","162,116,700"
"Sep 17, 2020","2,810.00","2,850.00","2,780.00","2,820.00","2,684.63","97,257,400"
"Sep 16, 2020","2,810.00","2,830.00","2,770.00","2,790.00","2,656.07","68,113,400"
"Sep 15, 2020","2,890.00","2,900.00","2,810.00","2,830.00","2,694.15","106,215,900"
"Sep 14, 2020","2,830.00","2,890.00","2,820.00","2,890.00","2,751.27","127,562,700"
"Sep 11, 2020","2,670.00","2,840.00","2,650.00","2,810.00","2,675.11","197,756,800"
"Sep 10, 2020","2,800.00","2,800.00","2,620.00","2,700.00","2,570.39","287,496,300"
"Sep 09, 2020","2,850.00","2,860.00","2,800.00","2,800.00","2,665.59","108,397,400"
"Sep 08, 2020","2,890.00","2,900.00","2,860.00","2,860.00","2,722.71","80,068,200"
"Sep 07, 2020","2,870.00","2,910.00","2,870.00","2,900.00","2,760.79","62,206,600"
"Sep 04, 2020","2,850.00","2,890.00","2,840.00","2,860.00","2,722.71","143,569,100"
"Sep 03, 2020","2,950.00","2,960.00","2,880.00","2,900.00","2,760.79","123,106,100"
"Sep 02, 2020","2,900.00","2,970.00","2,900.00","2,950.00","2,808.39","107,589,800"
"Sep 01, 2020","2,900.00","2,910.00","2,860.00","2,900.00","2,760.79","90,565,400"
"Aug 31, 2020","2,960.00","2,980.00","2,860.00","2,860.00","2,722.71","204,261,100"
"Aug 28, 2020","2,990.00","2,990.00","2,940.00","2,960.00","2,817.91","160,569,500"
"Aug 27, 2020","3,020.00","3,040.00","2,970.00","2,990.00","2,846.47","102,787,800"
"Aug 26, 2020","2,980.00","3,050.00","2,980.00","3,020.00","2,875.03","122,465,300"
"Aug 25, 2020","3,010.00","3,010.00","2,980.00","2,980.00","2,836.95","100,013,600"
